,review/text
117,"I received this book as a BD gift... I love it! I live in SE Alaska, a subsistance life style... been trying to learn how to ""grow"" a really good sourdough... this book has been really helpful and it has some really great recipes from the early 1900's and before! Now, if I can just figure out the quirks of baking and keeping a good sourdough ""growing"" on my salmon troller...If you love great sourdough, give this a try... ""grow"" your own using one of Ruth's recipes (included)... it is well worth the time and your guests will truly enjoy the meals you make from your sourdough jar...h. akinsnaukati, ak"
118,"Do you want to brought up to speed on the state of the art in philosophical discussions of free will? Do you want to give yourself a top-flight graduate course on this exciting philosophical topic? Then read Robert Kane's The Oxford Handbook on Free Will. This book might be the single best book to study if one wants a comprehensive overview of most of the controversies unfolding in debates about free will and moral responsibility. The essays are all outstanding. Each is penned by one of the leading figures in the field, and each combines an effort to teach at a very advanced level with a novel contribution to the literature pitched from the perspective of the author. For example, in the section devoted to compatibilism (the view that free will and moral responsibility are compatible with determinism), Kane includes four essays, one by Bernard Berofsky, another by Ishtiyaque Haji, a third by Paul Russell, and a forth by Daniel Dennett and Christopher Taylor. Each essay is detailed, crisp, completely informed, and clear as a bell. Each also advances the author's own views. Reading through this section, one can learn exactly what is now taking place in the arena of compatibilism. The same can be said about the section devoted to libertarianism (the thesis that some persons act from a sort of free will that requires the falsity of determinism). In this section, Kane includes probably the four finest philosophers currently defending this topic, Tim O'Connor, Randy Clarke, Carl Ginet, and Kane himself.In all, there are eight sections to Kane's collection with a total of 25 essays. The sections are devoted to the following topics: 1) theological issues as they pertain to free will, 2) theories of physics and the free will problem, 3) the consequence argument (a highly influential argument for the thesis that determinism is incompatible with the ability to do otherwise), 4) compatibilism, 5) the relevance of alternative possibilities for moral responsibility (some philosophers think that the freedom to act otherwise is not required for moral responsibility), 6) libertarian views, 7) non-standard views about the relationship between free will, moral responsibility and determinism (such as the view that no one has free will or moral responsibility regardless of the truth or falsity of determinism), and finally, 8) neuroscientific influences on our understanding of the free will topic. An impressive range of topics indeed.I have been publishing and writing on the topics of free will and moral responsibility for over 10 years now and I simply know of no single collection that even approximates the impressive quality and breadth of Kane's handbook. It is an outstanding book."
119,"So far forth, the editors of the Oxford Handbook series have managed to put together products which both the neophyte and the fully-informed scholar will find beneficial. Robert Kane has certainly done his part to keep up the trend.All of the essays in this volume are written by philosophers who have made significant individual contributions to the contemporary discussion about human freedom. Most of the authors have also produced influential works in related fields (philosophy of mind, action theory and moral psychology), and many of them are thoroughly conversant with the relevant empirical research in physics and neuroscience. Indeed, parts II and VIII of the book are dedicated, respectively, to the interplay between the problems of free will and quantum physics/chaos theory on the one hand, and recent work in neuroscience on the other. The result is a compilation of essays written with the sort of texture and philosophical sensitivity that repays careful (re-)reading, and brimming with suggestive ideas that could well move the debate into some relatively unexplored terrain. (We should expect nothing less from a volume edited by Kane, who has himself long advocated the importance of approaching the ancient problem of free will from novel directions.) What's more, the collection includes essays from several philosophers whose own books on free will are, though quite important and valuable, somewhat cost prohibitive. (Anyone living on a graduate student's salary who's tried to pick up a copy of Pereboom's or Clarke's or Double's or Strawson's books will know what I mean.) So the expense of the present volume is, when seen in that light, thoroughly justifiable. In fact it's a steal! Or so I've tried to convince my wife.Finally, with his characteristic combination of clarity and rigor, Kane provides a lengthy introduction to the book that will help both the professional philosopher and the new-comer find their bearings in this complex debate with as little intellectual turmoil as can reasonably be hoped for. The book is a good one, highly recommended."
120,"I first encountered Bob Kane's skill with the daedal discipline of free will in his book *The Significance of Free Will.* At that time, I realized that Kane had an almost suspicious talent for articulating my own objections, and then articulating a response that would often satisfy me more than my own.While such a talent may be a bit threatening for readers aiming to claim their own victories, Kane's affability and enthusiasm always leave the reader not only with the necessary knowledge, but with a sense of pride in having participated in his well-authenticated jaunts.This work, in particular, highlights Kane's skills as both an original author and an editor with an honest eye for the best arguments of his opponents. It will certainly become a staple, if it has not already, for professional scholars of free will and curious by-standers alike. The *Oxford Handbook of Free Will* draws together balanced selections from the most relevant authors in the field, and-despite its depth-manages to cover a range broad enough that the book would be equally well placed on the shelves of theologians, philosophers, and physicians.My main criticism is that the compilation elides some selections that, to me, seem indispensable. Then again, such a problem *should* be inevitable for a field as factious as free will, and is blunted by Kane's need to balance his equations.The Oxford group has again demonstrated their wisdom in selecting Kane as the editor of this volume. Compared to its competitors in the prosy pantheon of free-will texts, this selection will leave you energized to gnaw through the next puzzle (rather than feeling deflated by the fact that there remain more arguments to be broached).-Christian P. Erickson, M.D.christianerickson@alumni.duke.edu"
121,Awesome Preview of Europe for those of us who can't sit down and read the other guide books. The pictures and maps are great.
122,"This book is great. DK Travel books are the best available. The only problem I had was the seller""Discount Books"". They charged me a $9.95 monthly membership fee for buying the book. And they will charge it every month until you catch them and ask them to stop. That is one thing I wouldn't have expected from an Amazon vendor. "" Buyer Beware"" is a must--even here."
123,"I love the pictures in this book and brief history of each country/culture at the beginning of each chapter. It is a great overview of European sites and helps us decide what's most important for us to visit! I'm enjoying it very much. It's not like a Rick Steves book, with in-depth reviews of each area, but it's a great overall review for people like us who haven't been to Europe yet and are trying to decide what we would like to see. Rick's books are excellent for more in-depth visits, but this is great for first-timers trying to figure it all out."
124,"it is a good book, which give you more information, photo, picutre, and image of all interesting places in europe... for the traveler I would like to suggest you to buy this book coupled with lonely planet... with both book you will have a complimentary information and give you more idea to select the best place to visit, and see...."
125,"This book was an excellent buy. I recently had a holiday in Europe and it never left my side. It is packed with information, pictures and maps and in fact people travelling with me kept borrowing it all the time and were going to buy it when they got home because it had all the information they wanted to show family and friends as to where they had been and what they had seen. Highly recommended."
126,"I currently live in Europe, and this is the book I recommend for my visitors. It covers many countries, colour pictures, and is a nice starter for before you go, and once you are there."
127,"This book in my opinion is biased and takes an angle of Europe that is ""clean and proper"" and fails to shed light on the rest of it. I can understand that these are ""tourist guides"" and why would anyone want to tour a country forgotten by time. However, I am a very disappointed Romanian with this book and would never use it as my reference. I have seen travel guides outlining Europe exclude Romania before, but with the precision and detail of DK's series, I was left yet again in disappointment."
128,"I admit it: I'm addicted to travel. My wife and I are semi-retired and we are on the go half the year. We travel for our home-based business, ""The Nurses Choice"" which cover 50 metro areas and therefore must visit a variety of cities. We then decided to expand overseas.Having to plan for a trip to Europe, we searched for a guide that would provide what we needed. The ""Eyewitness Travel Guides"" offered a total package. Good maps, photos, recommended places to see, dine, and stay. It's well-organized and relatively small. We brought it on the tours of France and Italy. It served us well, allowing us to find and decide what to see fairly readily. A friend just borrowed it and they said the same thing. It really aided their decisions and provided a reliable course of action. We plan to buy the other series for other locations. That should speak for itself."
129,"This book is realy great for everybody who likes to travel Europe. The combination of good pictures, illustration and texts is perfect. You get a good overall view for the most important sights, places, cities and countries in Europe and also a bit of historical information. As a European who already traveled a bit I still could find a lot of inspiration to more interesting places to go. Thank a lot to Eyewitness Travel for there great books!"
130,"The Dk Travel guides are the best travel guides produced, each one a high quality illustrated encyclopedia on the country or city it represents. They are invaluable guides. The only disadvantage is that they are a bit on the heavy side, but the quality of printing and extensive range of color photos offsets that."
131,"This book was tailor made for our trip, which was for 3 weeks, hitting 8 major cities. It was useful for planning as well as a take-along guide. We traveled by train, and the book was great for ""getting our heads in the game"" for the next stop. The pictures are rich with detail, including cut-away views of many historical structures like castles and cathedrals. The historical synoptic narratives are extremely well written, delivering maximum information in the space available. The quality of the paper is impeccable, with a glossy finish and gorgeous colors.My 13-year old daughter, unexpectedly and unprompted, devoured the book during the train rides. She set aside her DVD player and forty or so movies, and focused on the book - day, after day, after day. She never watched a movie on the trains. When she finished studying the section on our next city, she moved outward in the book to other features of the country. She would go back and forth between the various city descriptions, the country maps, and the map of Europe. We would go into museums, and she would point out pictures she had seen in the book. Eventually, she had carefully looked over every page of the book and read far more than just what was relevant to our destinations. She probably reread the section on Anne Frank 10 times, even though we didn't get to Amsterdam and she has already read two books on the subject. Tomorrow morning, a Saturday with me off work, she and I are going to sit down together and go through the book, tabbing the sections that cover places we went. At the expense of sounding schmaltzy, I expect it will be a sentimental keepsake for the rest of her life.This is a great book for early planning, especially if you haven't decided on which cities to visit. On the other hand, if you've already made up your mind and you are visiting fewer than four cities, this is probably not the book for you - you wouldn't buy an encyclopedia if you only wanted to read three articles. Buying the book early can give you time to buy a more focused book for cities where you find you need more information.The binding on the book will appear somewhat unusual if you're unfamiliar with this publisher as I was. Sitting on a bookshelf, it looks like a hardbound book in a colorful dust jacket, even though there is no removable jacket at all. In fact, it is sort of a hybrid between a paperback and a hardbound book. The cover is actually vinyl: solid but flexible and looks and feels almost like it is plastic coated. The cover extends above and below the pages like a hard cover. One negative is that it is fairly heavy for a relatively small book. This is because of the 800, full-color, glossy pages in a book that is less than 1.25 inches thick. The other dimensions are roughly 8.5 X 5.25.I'm sorry, but I've got to take a shot at some of the negative reviews. Some criticized a lack of depth. What do you expect with 20 countries covered in 800 pages and content split between pictures, historical narrative, and touring advice that gets all the way down to restaurants and shopping? This book is a careful compromise between breadth and depth. (Our next trip will be to only three cities, and we'll buy more focused books then.) Frankly, I don't see how the publishers could have crammed more information into such a compact space. To the fellow who said the only Eastern European country covered was Czechoslovakia: (1) it's the Czech Republic, and (2) are Hungary and Poland not part of Eastern Europe? To the person who said the maps were not useful, I have to point out that maps that can actually help navigation typically can't fit on pages this small. What do you want, 200 foldout maps in an 800 page book?BTW, we brought along a set of maps that we had bought online. Surprisingly to us, we ended up mostly relying on the free ones available in the three, four, and five star hotels we stayed in. We never failed to get a good map from a hotel front desk or concierge. Even after all the preliminary study (also, my wife and I had been to most of the cities before), we often asked for suggestions on sites and several times made some new discoveries that way. We brought along a Garmin GPS, but used it very little because we were on foot, and the Garmin instructions used street names while the streets were often unmarked. (Try looking on the sides of buildings for street names.)Bottom Line: You are investing a significant amount of money, time, and sweat equity in your trip. While it isn't cheap as books go, in the greater context of trip expenses, this book is practically free. Probably the most significant cost is the weight allowance it eats up. (Put it in your carry-on; the airlines haven't started weighing those yet.) In the uses that I've described, it can significantly enhance your experience. When you get back, it will look good on your bookshelf. If you are still deciding on which cities to go to, or if you are going to more than a few cities, buy this book. You'll thank yourself, again and again, just as I thanked my wife.Bon voyage ..... buon viaggio ..... ibuen viaje ..... and, lest we forget, ..... gute fahrt!"
132,"It's a good book, but the maps are not very good, covering only parts of central areas and there aren't subway maps. Moreover there isn't anything about hostels!"
133,"I really like the eyewitness guides, I have seven including ""Europe"". All of them have tons of images, walking routes throught various cities, contact information for sites, hotel listings, resturants, and in many cases floor plans of museums and other buildings. I also like the fact that they give some history of the country, show images of the currancy, list suggested times to visit very busy sites and show some of the reasons why you would select to visit particular attractions.True this book does not cover all of Europe, but it does have sections on the more ""popular"" travel destinations. It is good if you want some general information on many different countries and to help determine which you have interest in visiting. It is not to large to carry around and has extended cover flaps to help mark the section.The last thing is that if you are traveling to only one country or going to spend a most of your time in one city, look for the individual eyewitness guides. The information in the Ireland book was better for the two week visit to Ireland, where this book (the Europe book) would have been only ok for that trip, but was perfect for the three days in Edinburgh and helping to select which countries to visit when we only had time for a few days in each."
134,"The Eyewitness Travel Guides in general provide lots of pretty pictures and are very nice, but if you want a handy, practical guide to TAKE WITH YOU on a trip you are much better off with the Rick Steves, Lonely Planet, Fodor's, or Frommer's series of travel guides. The other guides provide much better info on logistics like where to stay, where to eat, and transportation. Eyewitness (DK Publishing) makes great coffee table books, and that is what this book is. I recommend Rick Steves Best of Europe, or Lonely Planet's Europe on a Shoestring if you want a more useful guide."
135,"I bought both this and lonely planet and have used lonely planet more because this book is full of pictures but doesn't give you all the info you need. Also, I ended up buying each indiv city guide as well because this one only scratches the surface!"
136,i LIKE THIS BOOK VERY MUCH i HOPE IT WILL BE VERY USEFUL ON MY NEXT TRIP TO EUROPE. I STRONGLY RECOMMEND TO ANYONE WHO WANTS A GREAT DEAL OF INFORMATION
137,I bought this book because we are moving to Germany and I wanted to get a good overview of all the countries in Europe that we could travel too. Unfortunately pages 457-480 on Greece are not in English - looks to be Spanish. There was some sort of printing problem! But I found the rest of the book to give good highlights of the countries.
138,"I bought this book to help me plan my trip to Europe and it was so useful, it was the only book I packed to take on my trip. The book covers mainly Western Europe along with Poland, Czech Republic, Hungry, and Greece. The former Soviet Union, former Yugoslavia, Albania, Bulgaria, Romania, and Slovakia are not covered and neither are the islands of Iceland, Malta, and Cyprus. Similarly, of the ""tiny"" countries, only Monaco and the Vatican are mentioned; Liechtenstein, Andorra, and San Marino are not.The book describes what is available to see in Europe. For each country, about six to twenty cities/regions are discussed and for major cities (e.g. London, Paris, Amsterdam, Venice, etc.) there is more detailed coverage, such as six to twenty sights within that city along with a city map. Usually, each attraction gets about a four-paragraph write-up plus a photograph. A few major attractions (e.g. Louvre, British Museum, St. Peter's Cathedral, etc.) are devoted two to four pages plus a larger diagram. Also, each country usually has another dozen or so pages covering its history and culture as well as a discussion about practical information such as climate, banking, methods of travel, shopping, etc.The book doesn't teach you everything you need to know about Europe (e.g. nothing about foreign languages), or will want to know (e.g. hotels, restaurants, and food have modest coverage). Nor does it include everything you'll do - only places, not events, are written about (e.g. Oktoberfest only warrants a photo). But the book does an excellent job at detailing what popular, famous, interesting, or important places there are in Europe. The pictures and illustrations make the book come to life. The maps help you judge the relative positions of sights within a particular city. The descriptions are usually detailed enough so you can determine how interesting you'll find a particular place. Some people might criticize the book because it doesn't judge how ""good"" each sight is. However, I find this nice because everyone has different tastes and I like to have the opportunity form my own opinions.If you want to know what is available to see in Europe then this is the book for you."
139,"If you're already a fan of the Eyewitness Travel Guide series, you know what to expect from this book. If this is your first time, let me tell you you'll be amazed with how great and how useful this book is.This particular guide summarizes the contents of over 20 other books by DK, including information for 20 countries in total, organized in the following way:- The British Isles (Great Britain &amp; Ireland)- France and the low countries (France, Belgium, Luxembourg &amp; The Netherlands)- The Iberian Peninsula (Spain &amp; Portugal)- Italy and Greece- Germany, Austria and Switzerland- Scandinavia (Sweden, Norway, Denmark &amp; Finland)- Central and Eastern Europe (Czech Republic, Hungary &amp; Poland).This guide contains, for every country, information regarding sites to visit, hotels, restaurants, shopping, museums, travel info (how tos for travelling by train, bus, car, metro, etc). Worthy of notice are their trademark cutaways of castles and churches, maps and street-by-street graphics.The only drawback is that since it includes information on so many countries, some of it might not have the detail you'd expect. For example, the France section has only 73 pages, while the Eyewitness Travel Guide to Paris (another book from DK) has over 350 pages on Paris alone!A phenomenal guide if you're planning on visiting many countries on one trip, but if you intend to dedicate more time to just a couple, you'd be better off getting the specific country/city guides."
140,"Yes, this is one heavy book. It is more than likely not a guide you want to carry around with you unless you intend to lose a few pounds from the extra weight in your backpack. Otherwise, it is quite a great guide for deciding where you want to take your next vacation in Europe. It is filled with color photography, illustrations and details you wil enjoy reading. It is graphically exciting and visually pleasing. Of all the guides I've seen, the Eyewitness Travel Guides are sheer brillance.On the inside cover there is a map of Europe and then the pages are color coded so you can find the following countries: Great Britian, Ireland, France, Belgium & Luxembourge, The Netherlands, Spain, Portugal, Italy, Greece, Germany, Austria, Switzerland, Sweden, Norway, Denmark, Finland, Czech Republic, Hungary and Poland.So, if you wanted to find the information on France, you just turn the book sideways and look for the yellow markings on the pages. Viola, you are there. If you are dreaming about visiting the Eiffel Tower, the Louvre or want to go see the Hall of Mirrors at the Chateau de Versailles, may I say...they are worth a plane ticket to France. Finding a bottle of Huile D' Olive in the South of France is also something you won't soon forget.There is also a guide to Europe's Rail Network and the Index is perfect.After you look through the main spots to visit in each country, there is a section filled with practical information: Visa Requirements and customs, tourist information, personal security issues, climate, banking, communications, directory for embassies, travel information like car rental and buses, etc. Then there is a shopping and entertainment. So where do you want to stay? There is a guide giving the hotel ratings and it is divided up by the areas you might enjoy visiting. Then, there is a guide to places to eat. While finding a restaurant just by exploring can be exciting, there is something to be said for a guide. Unless of course you happen to be traveling with someone who knows the country and I can imagine that is the best way to travel. Is there a lonely Frenchman out there who wants to show me Paris? SighJust kidding, but hey, a fantasy is a fantasy.So, think of this guide as an overview and then you can select an Eyewitness Travel Guide for the specific countries of interest. They are all excellent although on a first trip to Europe, I'd advice a guided tour so you can enjoy your trip instead of worrying about language barriers, etc.If you go to Paris, take a tour because I would not drive there if you paid me a million bucks! The highways in Germany are also equally terrifying. Everyone is in such a hurry to get to nowhere. If you want to enjoy your vacation without as many hassles, a tour might be the way to go. There is nothing quite like being guided through the most gorgeous cities in Europe.This guide is just the start to many adventures.~The Rebecca Review"
141,"Eyewitness travel guides are splendid and this is not an exception. This is a handy guide to Europe and shows some of the more popular spots to travel to. I was a bit confused that not all countries were included. However, that might be because they picked the places that most people travel to. I personally was a bit disapointed that Romania, Ukraine and other more far eastern european countries were not included. However, still and all, this is an awesome guide for the countries that are included. I love how they show everything instead of just writing and writing like many travel guides do. These are the best guides out there and the many photos make these guides stupendous and astounding and many leagues better then closest competitor."
142,"I recently took a backpack trip through Europe, which lasted close to a month; before heading out there I went through a few guidebooks and at that moment this one appealed the most. I cannot say if it was the presentation with the colored photographs; maps of the cities with visitor information or that I was just to plain sick of spending time searching for a guide book to take me though my journey. Nonetheless I am quite pleased that I took this guide with me. I had planned initially to visit a friend in Netherlands and spend some time scrolling through the cities; I left my guide there to my host; but off and on I would reference the book with places I visited; I must admit that this book covered all the places. Now of course I personally feel the best way to visit a place is to have some one show you around as like any other travel guide will not detail the places where the locals would head over to; like the bars, restraunts and night clubs. My visit from here lead me to Paris; it hit me with all its charm and glamour; here too I was fortunate to be taken around by friends. The real use of the guide came when I went on a solo journey to Belgium Austria and Italy. I found this guide an immense source of information. On my way to the city mostly by trains; I found the chance to orient myself and somewhat have a time frame as to how long I would stay in each city. I found that even though the book has information about hotels and hostels but at the train station's Hotel Guides; I was always able to get better deals. Pretty much I carried this heavy 800 pages book with me where ever I went.Even though this book provides immense information I would highly recommend getting additional reference books on cities, which are known, for immense sightseeing and historical attractions. One such place where the guide fell short was Florence; even tough it has considerable information and provides all the most popular sites. It literally will take a 1000 pages to detail all the places to visit; as a comparison there are over 78 places to visit which have historical importance but the book has listed only about the best 14 of them; well visiting all the places would take a few weeks of stay in comparison to a typical 3-4 days that tourists generally spend; which is sufficient time to visit the places listed in the book. Another important place not mentioned in this test was the ""Museum of Arsenal"" in Vienna; here on display is the car in which duke Ferdinand traveled with in Sarajevo.On the whole this covers only the most western countries of Europe and leaves a lot of East European countries and Turkey as well."
143,"This guide is great for an overview of many of the great places in Europe - but I cannot believe anyone would consider using this as their only guide. It should be used to maybe narrow down places to visit- then more comprehensive guides should be used. I have never been a believer in those 1 and 2 days in 18 cities over 3 weeks tours. 1 or 2 days is certainly not enough time to fully appreciate and get to know any city you visit. Furthermore, this guides biggest flaw is in doesn't cover anything in central/eastern europe besides the Czech Republic, Poland, and Hungary! Where's Russia, Romania, Bulgaria, the Baltic States, etc....? Yes, Europe is big but the countries not contained in this guide have so much to offer and certainly should not be overlooked. For example, St. Petersburg is one of the most beautiful cities in Europe - not mentioned here!Don't rush Europe - relax and enjoy it. Take time to get to know the people and cities. This guide can certainly help to narrow down Europe - but should certainly not be relied upon for extensive info on the many great places."
144,"This is a condensed and abridged book covering most of Europe. It gives you the highlights of the countries of Western Europe. It is a good book if you planning a trip where you will spend a day or two in many places. Otherwise you should consider DK more comprehensive guides to a particular country, region or city. On the positive side the book covers several countries that DK does not have a guide for yet. On the down side, the only Eastern European countries covered are Poland, the Czech Republic, and Hungary. Also the book is heavy. Is the book worth the money? Only if you are taking a &quot;buffet&quot; tour of Europe (a little France, a little Italy, etc...)."
145,"I just returned from a two-week tour of Western Europe and this book was simply fantastic. Obviously you can't cover everything you could possibly do in Europe in 800 pages, but this book covered more than many of the other Europe tomes. I had this book and one other with me on my trip and this was the only book I opened the entire journey.The best part about this book was all of the illustrations and color photographs. This book shows you what the other guides only tell you. It's hard to tell what building your looking at if you only have a written description, but with the four color illustrations in this book things are easy to identify and find. I would recommend this book to anyone taking a trip to Europe. (Plus, when you get back from your trip this book can even help you identify all those photographs you took)"
146,"All Europe guides are, of necessity, a selection of the very best things to see and do in that vast continent. No one book could be comprehensive, and all Europe guides are pretty bulky and heavy. But the Eyewitness people have managed to fit an astonishing number of places into 800 pages - and their choices are always exactly right, especially for the first-time visitor. It can be hard to decide whether to go to Antwerp or Bruges or Brussels - if you only have time to go to one city in Belgium - and all the photographs and illustrations in this book, plus the informative descriptions, make it a lot easier to make up your mind. The maps alone, all in color, make it worth buying."
147,"This guide is great when considering what sites and places to visit. It covers most any city you might find yourself visiting. It does a great job of describing the sites and the history behind them. Does not help with city transportation. Lightly covers the character of each city. I do enjoy the pictures and diagrams in the book. I highly recommend having another guide book that covers more logistics. I used this book along with Rick Steves Europe 2007. They were great companions to one another. My other complaint is that I am a student with a budget. This book does not cover many (if any) cheap places to eat or sleep. It does tell you which places charge admission, but does not tell you the admission price. It is a great book when accompanied by another (like Lonely Planet or Rick Steves.)"
148,"one of the best first person accounts of real bow hunting for any and all game on earth. detailed review of hunts, personal thoughts and technique in an easy to read format.excellent building details of the american long bow and equipment.a wealth of information on archery techniques as well as sportsmanship."
149,"I received my book on a friday and read it cover to cover in two days. I loved it. Howard Hill was not only the greatest archer in the world, but an excellent story teller. He does everything from shooting a buffalo while riding a horse, to bowfishing under water and shooting a large shark. He even has a technical chapter on bowmaking, and his style of shooting. Any archer will enjoy reading this book."
150,"exellent book for the beginning archer, it gets you excited to get out and try archery"
151,Hunting the Hard Way is the best book I have ever read. This book is about the adventures of Howard Hill and others that accompanied him on his hunting trips. Howard Hill used a laminated bamboo longbow that he made in his archery shop. He was an excellent shot with the bow also. He took some amazing shots at animals in this book. The most amazing shot in my opinion was at an elk at over 150 yards! He also went hunting with his bow and arrow.
152,"The first 2 chapters of this book locked this reader to the pages like an arrow nocked to the string. The thoughts and feelings expressed by Howard Hill as he came to full draw on each of his adventures put me in the saddle or atop the mountain looking through his eyes. Any archer's heart will race at the reaccounting of each hunt, but only archers of traditional caliber will be able to appreciate the flight of the arrow as it's loosed and hits its intended mark. The bond between fellow hunters is well expressed and gives proper account to the knowledge and wisdom passed down at the campfire by older more experienced hunters. But for the fact that Howard Hill has accomplished things with his bow that I wouldn't begin to consider, I found it difficult to associate with some of his underwater adventures."
153,"If you are involved with archery, this book belongs in your library. Howard Hill posessed skills that are nothing short of incredible when it came to hunting and target archery. This book will inspire you to pick up your bow and go out and shoot. It might even inspire someone to but down his compound and pick up a real bow. This book is a compilation of accounts from Howards career that would be written off as fantasy if so many people hadn't witnessed what Howard was able to accomplish with a longbow. Howard attempts to describe making bows and other archery tackle. I wouldn't buy the book for these reasons. There are other sources such as the bowyer's bible series that do a much better job."
154,Just incredible to hear these stories. Really was a much more innocent time. Fully of helpful insights for would be traditional archers
155,"I have no quarrel with the book itself. Wanted a copy for a long time. However, I purchased a used book with the understanding that it was a ""Signed Copy."" The copy I received WAS NOT autographed. This is a disappointment. If you advertise it as an autographed copy, don't substitute one that isn't. Leaves me in serious doubt regarding furture purchases. I'd appreciate some clarification. Regards, Elmer Kurrus"
156,This was a great book if you are a archery hunter it is a must read. Has motivate me to pit down the compound and pick up a longbow.
157,"Howard Hill's classic book on the longbow and hunting is filled with recommendations, tips, and wisdom earned over a lifetime of traditional archery. A great read that will be sure to make you a better traditional archer and bowhunter!"
158,Great read! Not an in depth how to book but full of some great adventures that one could only wish they could have been part of.
159,"This book is highly suggested for anyone interested in traditional archery. It is very entertaining and a great reference book. I've read it a couple of times and still reread sections from time to time. It gives insight into the way things were before compound bows, carbon fiber arrows, LED peep sights, etc. Heck, laminated wood was a big deal! Besides the exciting hunting stories, I liked the short course on bow and arrow construction."
160,"Thia was a gift for my Husband, who loved the book. It arrived on the date we were told it would."
161,"Seligmann, an artist and a &quot;bibliophiliac&quot; of twentieth century, presents a noteworthy panorama on the roots of magic and ancient beliefs &amp; superstitions in this richly illustrated work. This is not a book an enthustiastic &quot;Wicca&quot; would be enjoyed or feel excited to read. Rather it is a well organized collection of historical accounts (mostly dealing with the &quot;Western&quot; side of the subject) and esoteric knowledge. Seligmann provides us a classified history of magic, beginning with ancient Mesopotamia, Persia, Egypt, Canaan and Greece; then shifts the main route towards the medieaval Europe. All sections concerning with ancient cultures has very interesting details on ancient rituals, myths and the concept of &quot;demons&quot;. He especially provides very interesting material on Hermetic philosophy and gnosticism. The hundreds of illustrations in the book, add an entertaining taste into the story. This book would have well deserved &quot;five stars&quot; if it included ancient Eastern beliefs and rites in same detailed style, so I rate Seligmann's work with 4 stars. But in general, &quot;The History of Magic and Occult&quot; is a &quot;compact encyclopedia&quot;, you'd like to own."
162,"Kurt Seligmann, Surrealist artist par excellence, admitted &amp; unashamed bibliophile, has ravaged his occult library in a miraculous marriage giving birth to this classic historical account of Magic and Occultism; entirely written for the proverbial 'man about the street', and a very cosmic avenue is here tread in an admireable chronological ordering of the various mystical houses. Addressing all the various occult(semantic definition of &quot;hidden &amp; rejected knowledge&quot;) routes via the shortcut of this Art Historian's scholarly mind, as a whole this work is one of the best and most easily approachable &quot;magic histories&quot; for those who have no previous knowledge concerning occultism except an undeniable interest and fascination with the mysterious and the spiritual.Kurt Seligmann is darkly fascinated and explores endlessly the multitude of historic beliefs concerning the study of the nature of evil... such as black magic, necromancy, Elizabethian era conjurers and their Enochian magic,primitive rites, evocations of the Cultus Satanus, Goetia Demonomania, et.al....as an example, early on he discusses Chaldean phliosophies in which: &quot;Evil was born from God's disturbing thoughts&quot;...I have long wondered if the proposed thoughts had to do specifically with humanity?...and this book will surely set the fire or fan the sulphurous flames of those burning to know more about all things occult.The book primarily deals with Western Esoteric Traditions, which, being a westerner, appeals to my insatiable explorative appetite in studying and discovering the divinity of humankind and the accorded propensity &amp; potentials of individual spiritual progress through Magick and the strengthening of divine will ; in comparison with more Eastern idealogies concerned with mystical enlightenment and the abolishing of the ego to attain Nirvana.In summation, Kurt Seligmann, as one of the last efforts of his exemplary artistic journey throughout the early 20th century avant-garde, has given the world a completely unbiased in-depth world history from a magical perspective, a genuine labor of love which will always retain its intimately artistic personality in contrast to the strict scholarly treatise of the newspaper skeptic variety; and although there are better, more developed and intrigueing accounts out there, none are at the moment so readily available and economic, nor so expressive, or conclusively compact as this. Finally, the book has over a hundred and fifty illustrations from alchemical treatise and magical grimoires which compliment his descriptive writing style.It is besides all this, another exclamation point puncuating the Surrealist movement. surrealyours, an occultist."
163,"I have the older version of the book, but I understand that the content is generally unchanged.As someone who was desperately seeking some history without the New Age spin, this is a good resource. I'm almost tempted to say excellent resource, for what's there, tho he does focus on Western and Middle Eastern concepts.The main flaw I see with the book is the writing style. It's very 'academic', which I often find is synonomous with dry. I understand why the flashy New Age books sell - they capture the audience who doesn't go for the more scholarly approach... and I have difficult reading this book without my mind wandering.That said - it's not about flash, it's about substance... and it is a very interesting and informative piece of works."
